EmpID,year,month,day,joining_date_str,joining_date_alt,department,salary
1001,2012,5,14,14 May 2012,2012-05-14,Finance,67000
1002,2015,11,3,3 Nov 2015,2015/11/03,HR,54000
1003,2008,2,28,28 Feb 2008,02-28-2008,IT,72000
1004,2019,7,1,1 July 2019,2019.07.01,Marketing,59000
1005,2010,12,15,15 Dec 2010,2010-12-15,Finance,65000
1006,2017,3,22,22 Mar 2017,2017/03/22,IT,80000
1007,2005,8,9,9 Aug 2005,08-09-2005,HR,48000
1008,2013,10,30,30 Oct 2013,2013.10.30,Marketing,61000
1009,2011,1,5,5 Jan 2011,2011-01-05,Finance,70000
1010,2016,4,18,18 Apr 2016,2016/04/18,IT,75000
1011,2009,9,12,12 Sep 2009,09-12-2009,HR,53000
1012,2018,6,25,25 Jun 2018,2018.06.25,Marketing,62000
1013,2007,11,7,7 Nov 2007,2007-11-07,Finance,66000
1014,2014,2,2,2 Feb 2014,2014/02/02,IT,79000
1015,2006,3,19,19 Mar 2006,03-19-2006,HR,47000
1016,2020,8,11,11 Aug 2020,2020.08.11,Marketing,60000
1017,2012,5,23,23 May 2012,2012-05-23,Finance,68000
1018,2015,11,13,13 Nov 2015,2015/11/13,HR,55000
1019,2008,2,8,8 Feb 2008,02-08-2008,IT,73000
1020,2019,7,21,21 July 2019,2019.07.21,Marketing,60000
1021,2010,12,25,25 Dec 2010,2010-12-25,Finance,66000
1022,2017,3,2,2 Mar 2017,2017/03/02,IT,81000
1023,2005,8,19,19 Aug 2005,08-19-2005,HR,49000
1024,2013,10,10,10 Oct 2013,2013.10.10,Marketing,63000
1025,2011,1,15,15 Jan 2011,2011-01-15,Finance,71000
1026,2016,4,8,8 Apr 2016,2016/04/08,IT,76000
1027,2009,9,22,22 Sep 2009,09-22-2009,HR,54000
1028,2018,6,5,5 Jun 2018,2018.06.05,Marketing,64000
1029,2007,11,17,17 Nov 2007,2007-11-17,Finance,67000
1030,2014,2,12,12 Feb 2014,2014/02/12,IT,80000
1031,2006,3,29,29 Mar 2006,03-29-2006,HR,48000
1032,2020,8,1,1 Aug 2020,2020.08.01,Marketing,61000
1033,2012,5,3,3 May 2012,2012-05-03,Finance,69000
1034,2015,11,23,23 Nov 2015,2015/11/23,HR,56000
1035,2008,2,18,18 Feb 2008,02-18-2008,IT,74000
1036,2019,7,11,11 July 2019,2019.07.11,Marketing,61000
1037,2010,12,5,5 Dec 2010,2010-12-05,Finance,67000
1038,2017,3,12,12 Mar 2017,2017/03/12,IT,82000
1039,2005,8,29,29 Aug 2005,08-29-2005,HR,50000
1040,2013,10,20,20 Oct 2013,2013.10.20,Marketing,65000
1041,2011,1,25,25 Jan 2011,2011-01-25,Finance,72000
1042,2016,4,28,28 Apr 2016,2016/04/28,IT,77000
1043,2009,9,2,2 Sep 2009,09-02-2009,HR,55000
1044,2018,6,15,15 Jun 2018,2018.06.15,Marketing,66000
1045,2007,11,27,27 Nov 2007,2007-11-27,Finance,68000
1046,2014,2,22,22 Feb 2014,2014/02/22,IT,81000
1047,2006,3,9,9 Mar 2006,03-09-2006,HR,49000
1048,2020,8,21,21 Aug 2020,2020.08.21,Marketing,62000
1049,2012,5,13,13 May 2012,2012-05-13,Finance,70000
1050,2015,11,2,2 Nov 2015,2015/11/02,HR,57000
1051,2008,2,27,27 Feb 2008,02-27-2008,IT,75000
1052,2019,7,31,31 July 2019,2019.07.31,Marketing,62000
1053,2010,12,14,14 Dec 2010,2010-12-14,Finance,68000
1054,2017,3,21,21 Mar 2017,2017/03/21,IT,83000
1055,2005,8,8,8 Aug 2005,08-08-2005,HR,51000
1056,2013,10,29,29 Oct 2013,2013.10.29,Marketing,67000
1057,2011,1,4,4 Jan 2011,2011-01-04,Finance,73000
1058,2016,4,17,17 Apr 2016,2016/04/17,IT,78000
1059,2009,9,11,11 Sep 2009,09-11-2009,HR,56000
1060,2018,6,24,24 Jun 2018,2018.06.24,Marketing,68000
1061,2007,11,6,6 Nov 2007,2007-11-06,Finance,69000
1062,2014,2,1,1 Feb 2014,2014/02/01,IT,82000
1063,2006,3,18,18 Mar 2006,03-18-2006,HR,50000
1064,2020,8,10,10 Aug 2020,2020.08.10,Marketing,63000
1065,2012,5,22,22 May 2012,2012-05-22,Finance,71000
1066,2015,11,12,12 Nov 2015,2015/11/12,HR,58000
