UserID,OS,Install_Method,Python_Version,Anaconda_Installed,IDE_Used,Experience_Level,Install_Success
1001,Windows,Anaconda,3.8,Yes,Spyder,Beginner,Yes
1002,Mac,Python.org,3.10,No,VS Code,Intermediate,Yes
1003,Linux,Miniconda,3.9,Yes,JupyterLab,Beginner,Yes
1004,Windows,Anaconda,3.7,Yes,Spyder,Beginner,Yes
1005,Mac,Anaconda,3.8,Yes,Jupyter Notebook,Beginner,Yes
1006,Linux,Python.org,3.9,No,PyCharm,Advanced,Yes
1007,Windows,Miniconda,3.10,Yes,VS Code,Intermediate,Yes
1008,Mac,Anaconda,3.7,Yes,Spyder,Beginner,Yes
1009,Linux,Anaconda,3.8,Yes,JupyterLab,Intermediate,Yes
1010,Windows,Python.org,3.9,No,IDLE,Beginner,Yes
1011,Mac,Miniconda,3.10,Yes,VS Code,Intermediate,Yes
1012,Linux,Anaconda,3.7,Yes,Spyder,Beginner,Yes
1013,Windows,Anaconda,3.8,Yes,Jupyter Notebook,Beginner,Yes
1014,Mac,Python.org,3.9,No,PyCharm,Advanced,No
1015,Linux,Miniconda,3.8,Yes,VS Code,Intermediate,Yes
1016,Windows,Anaconda,3.10,Yes,Spyder,Beginner,Yes
1017,Mac,Anaconda,3.9,Yes,JupyterLab,Beginner,Yes
1018,Linux,Python.org,3.7,No,IDLE,Beginner,Yes
1019,Windows,Miniconda,3.8,Yes,VS Code,Intermediate,Yes
1020,Mac,Anaconda,3.10,Yes,Spyder,Beginner,Yes
1021,Linux,Anaconda,3.9,Yes,Jupyter Notebook,Intermediate,Yes
1022,Windows,Python.org,3.7,No,PyCharm,Advanced,No
1023,Mac,Miniconda,3.8,Yes,VS Code,Intermediate,Yes
1024,Linux,Anaconda,3.10,Yes,Spyder,Beginner,Yes
1025,Windows,Anaconda,3.9,Yes,JupyterLab,Beginner,Yes
1026,Mac,Python.org,3.8,No,IDLE,Beginner,Yes
1027,Linux,Miniconda,3.7,Yes,VS Code,Intermediate,Yes
1028,Windows,Anaconda,3.10,Yes,Spyder,Beginner,Yes
1029,Mac,Anaconda,3.8,Yes,Jupyter Notebook,Beginner,Yes
1030,Linux,Python.org,3.9,No,PyCharm,Advanced,Yes
1031,Windows,Miniconda,3.9,Yes,VS Code,Intermediate,Yes
1032,Mac,Anaconda,3.7,Yes,Spyder,Beginner,Yes
1033,Linux,Anaconda,3.8,Yes,JupyterLab,Intermediate,Yes
1034,Windows,Python.org,3.10,No,IDLE,Beginner,Yes
1035,Mac,Miniconda,3.9,Yes,VS Code,Intermediate,Yes
1036,Linux,Anaconda,3.7,Yes,Spyder,Beginner,Yes
1037,Windows,Anaconda,3.8,Yes,Jupyter Notebook,Beginner,Yes
1038,Mac,Python.org,3.9,No,PyCharm,Advanced,No
1039,Linux,Miniconda,3.8,Yes,VS Code,Intermediate,Yes
1040,Windows,Anaconda,3.10,Yes,Spyder,Beginner,Yes
1041,Mac,Anaconda,3.9,Yes,JupyterLab,Beginner,Yes
1042,Linux,Python.org,3.7,No,IDLE,Beginner,Yes
1043,Windows,Miniconda,3.8,Yes,VS Code,Intermediate,Yes
1044,Mac,Anaconda,3.10,Yes,Spyder,Beginner,Yes
1045,Linux,Anaconda,3.9,Yes,Jupyter Notebook,Intermediate,Yes
1046,Windows,Python.org,3.7,No,PyCharm,Advanced,No
1047,Mac,Miniconda,3.8,Yes,VS Code,Intermediate,Yes
1048,Linux,Anaconda,3.10,Yes,Spyder,Beginner,Yes
1049,Windows,Anaconda,3.9,Yes,JupyterLab,Beginner,Yes
1050,Mac,Python.org,3.8,No,IDLE,Beginner,Yes
1051,Linux,Miniconda,3.7,Yes,VS Code,Intermediate,Yes
1052,Windows,Anaconda,3.10,Yes,Spyder,Beginner,Yes
1053,Mac,Anaconda,3.8,Yes,Jupyter Notebook,Beginner,Yes
1054,Linux,Python.org,3.9,No,PyCharm,Advanced,Yes
1055,Windows,Miniconda,3.9,Yes,VS Code,Intermediate,Yes
1056,Mac,Anaconda,3.7,Yes,Spyder,Beginner,Yes
1057,Linux,Anaconda,3.8,Yes,JupyterLab,Intermediate,Yes
1058,Windows,Python.org,3.10,No,IDLE,Beginner,Yes
1059,Mac,Miniconda,3.9,Yes,VS Code,Intermediate,Yes
1060,Linux,Anaconda,3.7,Yes,Spyder,Beginner,Yes
1061,Windows,Anaconda,3.8,Yes,Jupyter Notebook,Beginner,Yes
1062,Mac,Python.org,3.9,No,PyCharm,Advanced,No
1063,Linux,Miniconda,3.8,Yes,VS Code,Intermediate,Yes
1064,Windows,Anaconda,3.10,Yes,Spyder,Beginner,Yes
1065,Mac,Anaconda,3.9,Yes,JupyterLab,Beginner,Yes
1066,Linux,Python.org,3.7,No,IDLE,Beginner,Yes
1067,Windows,Miniconda,3.8,Yes,VS Code,Intermediate,Yes
1068,Mac,Anaconda,3.10,Yes,Spyder,Beginner,Yes
1069,Linux,Anaconda,3.9,Yes,Jupyter Notebook,Intermediate,Yes
1070,Windows,Python.org,3.7,No,PyCharm,Advanced,No
1071,Mac,Miniconda,3.8,Yes,VS Code,Intermediate,Yes
1072,Linux,Anaconda,3.10,Yes,Spyder,Beginner,Yes
1073,Windows,Anaconda,3.9,Yes,JupyterLab,Beginner,Yes
1074,Mac,Python.org,3.8,No,IDLE,Beginner,Yes
1075,Linux,Miniconda,3.7,Yes,VS Code,Intermediate,Yes
1076,Windows,Anaconda,3.10,Yes,Spyder,Beginner,Yes
1077,Mac,Anaconda,3.8,Yes,Jupyter Notebook,Beginner,Yes
1078,Linux,Python.org,3.9,No,PyCharm,Advanced,Yes
1079,Windows,Miniconda,3.9,Yes,VS Code,Intermediate,Yes
1080,Mac,Anaconda,3.7,Yes,Spyder,Beginner,Yes
1081,Linux,Anaconda,3.8,Yes,JupyterLab,Intermediate,Yes
1082,Windows,Python.org,3.10,No,IDLE,Beginner,Yes
1083,Mac,Miniconda,3.9,Yes,VS Code,Intermediate,Yes
1084,Linux,Anaconda,3.7,Yes,Spyder,Beginner,Yes
1085,Windows,Anaconda,3.8,Yes,Jupyter Notebook,Beginner,Yes
1086,Mac,Python.org,3.9,No,PyCharm,Advanced,No
1087,Linux,Miniconda,3.8,Yes,VS Code,Intermediate,Yes
1088,Windows,Anaconda,3.10,Yes,Spyder,Beginner,Yes
1089,Mac,Anaconda,3.9,Yes,JupyterLab,Beginner,Yes
1090,Linux,Python.org,3.7,No,IDLE,Beginner,Yes
1091,Windows,Miniconda,3.8,Yes,VS Code,Intermediate,Yes
1092,Mac,Anaconda,3.10,Yes,Spyder,Beginner,Yes
1093,Linux,Anaconda,3.9,Yes,Jupyter Notebook,Intermediate,Yes
1094,Windows,Python.org,3.7,No,PyCharm,Advanced,No
1095,Mac,Miniconda,3.8,Yes,VS Code,Intermediate,Yes
1096,Linux,Anaconda,3.10,Yes,Spyder,Beginner,Yes
