RespondentID,Age,Role,Department,VisualizationType,ChartJunkPresent,ClarityRating,EthicalConcern,StorytellingScore
1001,28,Data Analyst,Marketing,Bar,No,8,No,7
1002,34,Manager,Sales,Line,No,9,No,8
1003,41,Data Scientist,Finance,Pie,Yes,5,Yes,4
1004,29,Business Analyst,Operations,Bar,No,7,No,6
1005,36,Manager,HR,Line,No,8,No,7
1006,27,Data Analyst,Sales,Bar,Yes,6,No,5
1007,32,Data Scientist,IT,Scatter,No,9,No,8
1008,45,Manager,Finance,Pie,Yes,4,Yes,3
1009,38,Business Analyst,Marketing,Bar,No,8,No,7
1010,31,Data Analyst,Operations,Line,No,7,No,6
1011,26,Data Scientist,HR,Bar,No,8,No,7
1012,39,Manager,IT,Scatter,No,9,No,8
1013,42,Business Analyst,Finance,Pie,Yes,5,Yes,4
1014,30,Data Analyst,Sales,Bar,No,7,No,6
1015,35,Manager,Marketing,Line,No,8,No,7
1016,28,Data Scientist,Operations,Bar,Yes,6,No,5
1017,33,Business Analyst,HR,Scatter,No,9,No,8
1018,44,Manager,IT,Pie,Yes,4,Yes,3
1019,37,Data Analyst,Finance,Bar,No,8,No,7
1020,29,Data Scientist,Marketing,Line,No,7,No,6
1021,27,Business Analyst,Sales,Bar,No,8,No,7
1022,40,Manager,Operations,Scatter,No,9,No,8
1023,43,Data Analyst,HR,Pie,Yes,5,Yes,4
1024,31,Data Scientist,IT,Bar,No,7,No,6
1025,36,Business Analyst,Finance,Line,No,8,No,7
1026,28,Manager,Marketing,Bar,Yes,6,No,5
1027,34,Data Analyst,Operations,Scatter,No,9,No,8
1028,41,Business Analyst,HR,Pie,Yes,4,Yes,3
1029,39,Manager,Sales,Bar,No,8,No,7
1030,32,Data Scientist,Finance,Line,No,7,No,6
1031,26,Business Analyst,IT,Bar,No,8,No,7
1032,38,Manager,Operations,Scatter,No,9,No,8
1033,45,Data Analyst,HR,Pie,Yes,5,Yes,4
1034,30,Data Scientist,Marketing,Bar,No,7,No,6
1035,35,Business Analyst,Sales,Line,No,8,No,7
1036,27,Manager,Finance,Bar,Yes,6,No,5
1037,33,Data Analyst,IT,Scatter,No,9,No,8
1038,42,Business Analyst,Operations,Pie,Yes,4,Yes,3
1039,37,Manager,HR,Bar,No,8,No,7
1040,29,Data Scientist,Sales,Line,No,7,No,6
1041,31,Business Analyst,Marketing,Bar,No,8,No,7
1042,40,Manager,Finance,Scatter,No,9,No,8
1043,44,Data Analyst,Operations,Pie,Yes,5,Yes,4
1044,28,Data Scientist,HR,Bar,No,7,No,6
1045,36,Business Analyst,IT,Line,No,8,No,7
1046,32,Manager,Sales,Bar,Yes,6,No,5
1047,39,Data Analyst,Finance,Scatter,No,9,No,8
1048,41,Business Analyst,Marketing,Pie,Yes,4,Yes,3
1049,34,Manager,Operations,Bar,No,8,No,7
1050,27,Data Scientist,HR,Line,No,7,No,6
1051,29,Business Analyst,Sales,Bar,No,8,No,7
1052,38,Manager,IT,Scatter,No,9,No,8
1053,43,Data Analyst,Finance,Pie,Yes,5,Yes,4
1054,31,Data Scientist,Marketing,Bar,No,7,No,6
1055,35,Business Analyst,Operations,Line,No,8,No,7
1056,28,Manager,HR,Bar,Yes,6,No,5
